127.0.0.1 - - [20/Mar/2023:09:04:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:04:34 +0900] "GET /StudyJavascript/javascript4_0315_object/test4.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:04:34 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:04:36 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:06:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:06:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:30 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:31 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 1123
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:31 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Mar/2023:09:09:31 +0900] "GET /StudyJavascript/javascript4_0315_object/test4_new_window.html HTTP/1.1" 200 1123
