127.0.0.1 - - [05/Jul/2023:09:28:48 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:05:47 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json_data.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:06:02 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:06:26 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 3050
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:09:10 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:09:11 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json_data.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:10:41 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 3756
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:11:33 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 3758
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:14:38 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 4278
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:14:38 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json_data.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:18:32 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 5006
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:18:33 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json_data.txt HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2023:10:31:18 +0900] "GET /StudyJavascript/javascript5_0705_ajax_json/test3_json.jsp HTTP/1.1" 200 6125
