127.0.0.1 - - [12/May/2023:09:02:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:16 +0900] "GET /MVC_Board/ HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:16 +0900] "GET /MVC_Board/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:16 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:43 +0900] "GET /MVC_Board/BoardWriteForm.bo HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:46 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:56 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:57 +0900] "GET /MVC_Board/BoardList.bo?pageNum=3 HTTP/1.1" 200 4430
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:59 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 4446
0:0:0:0:0:0:0:1 - - [12/May/2023:09:02:59 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:01 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:15 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:16 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:17 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:38 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:09:03:44 +0900] "GET /MVC_Board/BoardDeleteForm.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2023:09:06:21 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:09:06:21 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:09:06:22 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:09:06:23 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2023:09:09:55 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [12/May/2023:09:10:06 +0900] "POST /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [12/May/2023:09:17:10 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:09:17:16 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:09:18:12 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [12/May/2023:09:18:13 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:09:18:16 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:09:18:29 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2023:09:19:04 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:09:19:05 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:10:00:59 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:10:01:02 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:10:01:05 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [12/May/2023:10:01:09 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:10:01:09 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:53 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:53 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:53 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:53 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:55 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:10:23:57 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:52 +0900] "GET /MVC_Board/ HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:54 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:55 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:57 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:59 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:10:25:59 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [12/May/2023:10:31:59 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [12/May/2023:10:32:01 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=38&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:10:47:41 +0900] "GET /MVC_Board/BoardWriteForm.bo HTTP/1.1" 200 2087
0:0:0:0:0:0:0:1 - - [12/May/2023:10:47:58 +0900] "POST /MVC_Board/BoardWritePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:10:47:58 +0900] "GET /MVC_Board/BoardList.bo HTTP/1.1" 200 4414
0:0:0:0:0:0:0:1 - - [12/May/2023:10:47:59 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=39&pageNum=1 HTTP/1.1" 200 2678
0:0:0:0:0:0:0:1 - - [12/May/2023:10:48:00 +0900] "GET /MVC_Board/upload/0224%20-%20HTML%20%EC%97%B0%EC%8A%B5%EB%AC%B8%EC%A0%9C.png HTTP/1.1" 200 77067
0:0:0:0:0:0:0:1 - - [12/May/2023:10:48:13 +0900] "GET /MVC_Board/BoardDeleteForm.bo?board_num=39&pageNum=1 HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [12/May/2023:10:48:15 +0900] "POST /MVC_Board/BoardDeletePro.bo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/May/2023:10:48:15 +0900] "GET /MVC_Board/BoardList.bo?pageNum=1 HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [12/May/2023:11:00:58 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [12/May/2023:11:01:01 +0900] "GET /MVC_Board/BoardModifyForm.bo?board_num=38&pageNum=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2023:11:01:16 +0900] "GET /MVC_Board/BoardModifyForm.bo?board_num=38&pageNum=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2023:11:03:43 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [12/May/2023:11:21:43 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 500 1577
0:0:0:0:0:0:0:1 - - [12/May/2023:11:21:43 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 500 1577
0:0:0:0:0:0:0:1 - - [12/May/2023:11:22:05 +0900] "GET /MVC_Board/BoardDetail.bo?board_num=38&pageNum=1 HTTP/1.1" 200 2713
0:0:0:0:0:0:0:1 - - [12/May/2023:11:22:07 +0900] "GET /MVC_Board/BoardModifyForm.bo?board_num=38&pageNum=1 HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [12/May/2023:11:22:13 +0900] "GET /MVC_Board/BoardList.bo?pageNum=2 HTTP/1.1" 200 4445
0:0:0:0:0:0:0:1 - - [12/May/2023:11:22:13 +0900] "GET /MVC_Board/BoardList.bo?pageNum=3 HTTP/1.1" 200 4433
0:0:0:0:0:0:0:1 - - [12/May/2023:11:22:13 +0900] "GET /MVC_Board/BoardList.bo?pageNum=4 HTTP/1.1" 200 3702
